benchmark,time,detected,expected,actual,shellcheck
benchmarks/commits/unset_var_set_u_2/posix.sh,0.00249887490645051,1,unbound_setu,unbound_setu,
benchmarks/commits/unset_var_7/posix.sh,0.0020613339729607105,1,unbound,unbound,unbound
benchmarks/commits/unset_var_set_u_1/posix.sh,0.008115499978885055,1,unbound_setu,unbound_setu,
benchmarks/commits/ignored_command_v/posix.sh,0.026895042043179274,0,not_a_command,unbound,
benchmarks/commits/unset_var_4/posix.sh,2.3747347078751773,1,unbound,unbound,
benchmarks/commits/unset_var_3/posix.sh,0.005086249904707074,1,unbound,unbound,unbound
benchmarks/commits/unset_var_2/posix.sh,0.0024560000747442245,1,unbound,unbound,unbound
benchmarks/commits/unset_var_5/posix.sh,0.029448583023622632,1,unbound;unbound,const_cond;unbound;dead_code,unbound
benchmarks/commits/unset_func/posix.sh,0.005812208168208599,0,function_use_before_def,,function_use_before_def
benchmarks/milestone_2/unset_var-const_if-dead_code/posix.sh,0.0018472089432179928,0,unbound;const_cond;dead_code,unbound,unbound
benchmarks/milestone_2/loop_once-loop_once/posix.sh,0.004377958830446005,1,loop_once;loop_once,unbound;loop_once,
benchmarks/milestone_2/rm_root/posix.sh,0.003043541917577386,0,not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;unbound;not_a_command;unbound;word_split;del_sys_file;del_sys_file;unbound;unbound;unbound;unbound;unbound,word_split;unbound;del_sys_file;could_del_sys_file,not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;not_a_command;unbound;not_a_command;unbound;word_split;del_sys_file;del_sys_file;unbound;unbound;unbound;unbound;unbound
benchmarks/milestone_2/loop_once/posix.sh,0.0019101658836007118,1,loop_once,loop_once,
benchmarks/high_profile/c02-n/posix.sh,0.0057821671944111586,0,del_sys_file;word_split,unbound,
benchmarks/high_profile/c01-bumblebee/posix.sh,9.284052832983434,1,del_sys_file,word_split;unbound;del_sys_file,del_sys_file
benchmarks/high_profile/w00-itunes/posix.sh,0.0016774588730186224,1,word_split,word_split,word_split
benchmarks/high_profile/w01-squid/posix.sh,0.09617637493647635,0,del_sys_file;word_split;del_sys_file;word_split,word_split;unbound,del_sys_file;word_split;del_sys_file;word_split
benchmarks/high_profile/c00-steam/posix.sh,0.5277747921645641,0,could_del_sys_file,word_split;const_cond;unbound;dead_code,could_del_sys_file
benchmarks/web_forums/rm_root_2/posix.sh,0.004832584178075194,1,could_del_sys_file,could_del_sys_file,could_del_sys_file
benchmarks/web_forums/unset_var-cmd_always_fails/posix.sh,0.004744457779452205,0,unbound;command_can_only_fail,unbound,unbound
benchmarks/milestone_1/const_loop/posix.sh,0.0026368331164121628,1,infinite_loop,infinite_loop,
benchmarks/milestone_1/redir_to_func-redir_to_func/posix.sh,0.002666790969669819,1,redir_func;redir_func,redir_func,
benchmarks/milestone_1/unset_var_1/posix.sh,0.013303124811500311,1,unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound,unbound,unbound;unbound;unbound;unbound;unbound;unbound;unbound;unbound
benchmarks/milestone_1/loop_once-useless_test/posix.sh,0.0019974170718342066,1,loop_once;ignored_cmd_result,word_split;loop_once,
